title,title1,artist,artistdetails,date,medium,accession,view,date1,date2,date3,date4,newdate2,newdate3,newdate21,newdate,newdate22,flag,artist_met,met
Landscape ,Landscape,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )","Date: Paris, spring ",Medium: Gouache and charcoal on paper,Accession Number: 2014.464,Not on view,Date:,"Paris,",spring,,"Paris,",spring,,,,,Pablo Picasso,1
Woman in Profile ,Woman in Profile,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1901,Medium: Oil on paper board mounted on particle board,Accession Number: 1999.363.58,On view in Gallery 904,Date:,1901,,,1901,,1901,1901,,,Pablo Picasso,1
Dying Bull,Dying Bull,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1934,Medium: Oil on canvas,Accession Number: 1999.363.67,Not on view,Date:,1934,,,1934,,1934,1934,,,Pablo Picasso,1
The Dreamer ,The Dreamer,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1932,Medium: Oil on canvas,Accession Number: 1997.149.4,On view in Gallery 901,Date:,1932,,,1932,,1932,1932,,,Pablo Picasso,1
Head of a Woman ,Head of a Woman,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1960,Medium: Oil on canvas,Accession Number: 1990.192,Not on view,Date:,1960,,,1960,,1960,1960,,,Pablo Picasso,1
Standing Nude and Seated Musketeer ,Standing Nude and Seated Musketeer,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1968,Medium: Oil on canvas,Accession Number: 1981.508,Not on view,Date:,1968,,,1968,,1968,1968,,,Pablo Picasso,1
Faun with Stars ,Faun with Stars,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1955,Medium: Oil on canvas,Accession Number: 1970.305,Not on view,Date:,1955,,,1955,,1955,1955,,,Pablo Picasso,1
Woman Asleep at a Table,Woman Asleep at a Table,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1936,Medium: Oil and charcoal on canvas,Accession Number: 1997.149.3,On view in Gallery 901,Date:,1936,,,1936,,1936,1936,,,Pablo Picasso,1
Woman and Musketeer ,Woman and Musketeer,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1967,Medium: Oil on canvas,Accession Number: 1999.363.71,Not on view,Date:,1967,,,1967,,1967,1967,,,Pablo Picasso,1
Dora Maar in an Armchair ,Dora Maar in an Armchair,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1939,Medium: Oil on canvas,Accession Number: 1998.23,Not on view,Date:,1939,,,1939,,1939,1939,,,Pablo Picasso,1
Still Life with Mandolin and Galette,Still Life with Mandolin and Galette,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1924,Medium: Oil and sand on canvas,Accession Number: 1999.363.65,Not on view,Date:,1924,,,1924,,1924,1924,,,Pablo Picasso,1
Sheep Skull with Grapes,Sheep Skull with Grapes,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1939,Medium: Ink and gouache on paper,Accession Number: 1991.354,Not on view,Date:,1939,,,1939,,1939,1939,,,Pablo Picasso,1
Man with a Lollipop ,Man with a Lollipop,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1938,"Medium: Oil on paper, mounted on canvas",Accession Number: 1999.363.69,Not on view,Date:,1938,,,1938,,1938,1938,,,Pablo Picasso,1
Two Young Peasant Women,Two Young Peasant Women,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1891–92,Medium: Oil on canvas,Accession Number: 1973.311.5,On view in Gallery 820,Date:,1891–92,,,1891–92,,1891,1891,92,1,Camille Pissarro,1
Bather in the Woods,Bather in the Woods,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1895,Medium: Oil on canvas,Accession Number: 29.100.126,On view in Gallery 820,Date:,1895,,,1895,,1895,1895,,,Camille Pissarro,1
"Jalais Hill, Pontoise","Jalais Hill, Pontoise",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1867,Medium: Oil on canvas,Accession Number: 51.30.2,On view in Gallery 820,Date:,1867,,,1867,,1867,1867,,,Camille Pissarro,1
"Rue de l&#39;Épicerie, Rouen (Effect of Sunlight) ","Rue de l'Épicerie, Rouen (Effect of Sunlight)",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1898,Medium: Oil on canvas,Accession Number: 60.5,On view in Gallery 820,Date:,1898,,,1898,,1898,1898,,,Camille Pissarro,1
"Washerwoman, Study ","Washerwoman, Study",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1880,Medium: Oil on canvas,Accession Number: 56.184.1,On view in Gallery 820,Date:,1880,,,1880,,1880,1880,,,Camille Pissarro,1
The Garden of the Tuileries on a Winter Afternoon,The Garden of the Tuileries on a Winter Afternoon,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1899,Medium: Oil on canvas,Accession Number: 1979.414,On view in Gallery 820,Date:,1899,,,1899,,1899,1899,,,Camille Pissarro,1
The Boulevard Montmartre on a Winter Morning,The Boulevard Montmartre on a Winter Morning,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1897,Medium: Oil on canvas,Accession Number: 60.174,Not on view,Date:,1897,,,1897,,1897,1897,,,Camille Pissarro,1
The Garden of the Tuileries on a Winter Afternoon,The Garden of the Tuileries on a Winter Afternoon,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1899,Medium: Oil on canvas,Accession Number: 66.36,On view in Gallery 820,Date:,1899,,,1899,,1899,1899,,,Camille Pissarro,1
The Public Garden at Pontoise,The Public Garden at Pontoise,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1874,Medium: Oil on canvas,Accession Number: 64.156,On view in Gallery 820,Date:,1874,,,1874,,1874,1874,,,Camille Pissarro,1
"Morning, An Overcast Day, Rouen","Morning, An Overcast Day, Rouen",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1896,Medium: Oil on canvas,Accession Number: 1980.21.1,On view in Gallery 820,Date:,1896,,,1896,,1896,1896,,,Camille Pissarro,1
"A Cowherd at Valhermeil, Auvers-sur-Oise","A Cowherd at Valhermeil, Auvers-sur-Oise",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1874,Medium: Oil on canvas,Accession Number: 56.182,On view in Gallery 820,Date:,1874,,,1874,,1874,1874,,,Camille Pissarro,1
"Poplars, Éragny ","Poplars, Éragny",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1895,Medium: Oil on canvas,Accession Number: 67.187.93,On view in Gallery 820,Date:,1895,,,1895,,1895,1895,,,Camille Pissarro,1
The Garden of the Tuileries on a Spring Morning,The Garden of the Tuileries on a Spring Morning,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1899,Medium: Oil on canvas,Accession Number: 1992.103.3,On view in Gallery 820,Date:,1899,,,1899,,1899,1899,,,Camille Pissarro,1
Still Life with Apples and Pitcher,Still Life with Apples and Pitcher,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1872,Medium: Oil on canvas,Accession Number: 1983.166,On view in Gallery 820,Date:,1872,,,1872,,1872,1872,,,Camille Pissarro,1
Barges at Pontoise,Barges at Pontoise,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1876,Medium: Oil on canvas,Accession Number: 1979.135.16,Not on view,Date:,1876,,,1876,,1876,1876,,,Camille Pissarro,1
Steamboats in the Port of Rouen,Steamboats in the Port of Rouen,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1896,Medium: Oil on canvas,Accession Number: 58.133,On view in Gallery 820,Date:,1896,,,1896,,1896,1896,,,Camille Pissarro,1
A Washerwoman at Éragny ,A Washerwoman at Éragny,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1893,Medium: Oil on canvas,Accession Number: 64.154.1,Not on view,Date:,1893,,,1893,,1893,1893,,,Camille Pissarro,1
Fan Mount: The Cabbage Gatherers,Fan Mount: The Cabbage Gatherers,Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: ca. 1878–79,Medium: Gouache on silk,Accession Number: 1994.105,On view in Gallery 817,Date:,ca.,1878–79,,1878–79,1878–79,1878,1878,79,1,Camille Pissarro,1
"Haystacks, Morning, Éragny","Haystacks, Morning, Éragny",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1899,Medium: Oil on canvas,Accession Number: 2004.359,On view in Gallery 820,Date:,1899,,,1899,,1899,1899,,,Camille Pissarro,1
"Côte des Grouettes, near Pontoise ","Côte des Grouettes, near Pontoise",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: probably 1878,Medium: Oil on canvas,Accession Number: 1991.277.2,On view in Gallery 820,Date:,probably,1878,,probably,1878,,,,,Camille Pissarro,1
"The Harvest, Pontoise (La Récolte, Pontoise)","The Harvest, Pontoise (La Récolte, Pontoise)",Camille Pissarro,"(French, Charlotte Amalie, Saint Thomas 1830–1903 Paris)",Date: 1881,Medium: Oil on canvas,Accession Number: 1975.1.197,On view in Gallery 961,Date:,1881,,,1881,,1881,1881,,,Camille Pissarro,1
Etruscan Vase with Flowers ,Etruscan Vase with Flowers,Odilon Redon,"(French, Bordeaux 1840–1916 Paris)",Date: 1900–10,Medium: Tempera on canvas,Accession Number: 53.140.5,Not on view,Date:,1900–10,,,1900–10,,1900,1900,10,1,Odilon Redon,1
Pandora ,Pandora,Odilon Redon,"(French, Bordeaux 1840–1916 Paris)",Date: ca. 1914,Medium: Oil on canvas,Accession Number: 60.19.1,On view in Gallery 829,Date:,ca.,1914,,1914,1914,1914,1914,,,Odilon Redon,1
Vase of Flowers (Pink Background) ,Vase of Flowers (Pink Background),Odilon Redon,"(French, Bordeaux 1840–1916 Paris)",Date: ca. 1906,Medium: Oil on canvas,Accession Number: 59.16.3,On view in Gallery 813,Date:,ca.,1906,,1906,1906,1906,1906,,,Odilon Redon,1
The Chariot of Apollo,The Chariot of Apollo,Odilon Redon,"(French, Bordeaux 1840–1916 Paris)",Date: 1905–16,Medium: Oil on canvas,Accession Number: 27.29,Not on view,Date:,1905–16,,,1905–16,,1905,1905,16,1,Odilon Redon,1
Bouquet in a Chinese Vase ,Bouquet in a Chinese Vase,Odilon Redon,"(French, Bordeaux 1840–1916 Paris)",Date: ca. 1912–14,Medium: Oil on canvas,Accession Number: 64.266,Not on view,Date:,ca.,1912–14,,1912–14,1912–14,1912,1912,14,1,Odilon Redon,1
"Madame Georges Charpentier (Marguérite-Louise Lemonnier, 1848–1904) and Her Children, Georgette-Berthe (1872–1945) and Paul-Émile-Charles (1875–1895)","Madame Georges Charpentier (Marguérite-Louise Lemonnier, 1848–1904) and Her Children, Georgette-Berthe (1872–1945) and Paul-Émile-Charles (1875–1895)",Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1878,Medium: Oil on canvas,Accession Number: 07.122,On view in Gallery 824,Date:,1878,,,1878,,1878,1878,,,Auguste Renoir,1
"The Daughters of Catulle Mendès, Huguette (1871–1964), Claudine (1876–1937), and Helyonne (1879–1955) ","The Daughters of Catulle Mendès, Huguette (1871–1964), Claudine (1876–1937), and Helyonne (1879–1955)",Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1888,Medium: Oil on canvas,Accession Number: 1998.325.3,On view in Gallery 821,Date:,1888,,,1888,,1888,1888,,,Auguste Renoir,1
"Eugène Murer (Hyacinthe-Eugène Meunier, 1841–1906) ","Eugène Murer (Hyacinthe-Eugène Meunier, 1841–1906)",Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1877,Medium: Oil on canvas,Accession Number: 2003.20.9,On view in Gallery 821,Date:,1877,,,1877,,1877,1877,,,Auguste Renoir,1
By the Seashore ,By the Seashore,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1883,Medium: Oil on canvas,Accession Number: 29.100.125,On view in Gallery 824,Date:,1883,,,1883,,1883,1883,,,Auguste Renoir,1
"Madame Édouard Bernier (Marie-Octavie-Stéphanie Laurens, 1838–1920) ","Madame Édouard Bernier (Marie-Octavie-Stéphanie Laurens, 1838–1920)",Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1871,Medium: Oil on canvas,Accession Number: 51.200,On view in Gallery 824,Date:,1871,,,1871,,1871,1871,,,Auguste Renoir,1
Marguerite-Thérèse (Margot) Berard (1874–1956) ,Marguerite-Thérèse (Margot) Berard (1874–1956),Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1879,Medium: Oil on canvas,Accession Number: 61.101.15,On view in Gallery 824,Date:,1879,,,1879,,1879,1879,,,Auguste Renoir,1
"Tilla Durieux (Ottilie Godeffroy, 1880–1971) ","Tilla Durieux (Ottilie Godeffroy, 1880–1971)",Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1914,Medium: Oil on canvas,Accession Number: 61.101.13,Not on view,Date:,1914,,,1914,,1914,1914,,,Auguste Renoir,1
Nini in the Garden (Nini Lopez) ,Nini in the Garden (Nini Lopez),Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1876,Medium: Oil on canvas,Accession Number: 2002.62.2,On view in Gallery 821,Date:,1876,,,1876,,1876,1876,,,Auguste Renoir,1
A Waitress at Duval&#39;s Restaurant ,A Waitress at Duval's Restaurant,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: ca. 1875,Medium: Oil on canvas,Accession Number: 61.101.14,On view in Gallery 824,Date:,ca.,1875,,1875,1875,1875,1875,,,Auguste Renoir,1
View of the Seacoast near Wargemont in Normandy,View of the Seacoast near Wargemont in Normandy,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1880,Medium: Oil on canvas,Accession Number: 56.135.7,Not on view,Date:,1880,,,1880,,1880,1880,,,Auguste Renoir,1
In the Meadow ,In the Meadow,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1888–92,Medium: Oil on canvas,Accession Number: 51.112.4,On view in Gallery 824,Date:,1888–92,,,1888–92,,1888,1888,92,1,Auguste Renoir,1
The Bay of Naples,The Bay of Naples,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1881,Medium: Oil on canvas,Accession Number: 56.135.8,Not on view,Date:,1881,,,1881,,1881,1881,,,Auguste Renoir,1
"The Farm at Les Collettes, Cagnes","The Farm at Les Collettes, Cagnes",Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1908–14,Medium: Oil on canvas,Accession Number: 61.190,Not on view,Date:,1908–14,,,1908–14,,1908,1908,14,1,Auguste Renoir,1
Bouquet of Chrysanthemums ,Bouquet of Chrysanthemums,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1881,Medium: Oil on canvas,Accession Number: 2003.20.10,On view in Gallery 821,Date:,1881,,,1881,,1881,1881,,,Auguste Renoir,1
A Young Girl with Daisies ,A Young Girl with Daisies,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1889,Medium: Oil on canvas,Accession Number: 59.21,Not on view,Date:,1889,,,1889,,1889,1889,,,Auguste Renoir,1
Still Life with Peaches and Grapes,Still Life with Peaches and Grapes,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1881,Medium: Oil on canvas,Accession Number: 56.218,On view in Gallery 824,Date:,1881,,,1881,,1881,1881,,,Auguste Renoir,1
Reclining Nude,Reclining Nude,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1883,Medium: Oil on canvas,Accession Number: 2003.20.12,On view in Gallery 821,Date:,1883,,,1883,,1883,1883,,,Auguste Renoir,1
Still Life with Peaches,Still Life with Peaches,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1881,Medium: Oil on canvas,Accession Number: 61.101.12,On view in Gallery 824,Date:,1881,,,1881,,1881,1881,,,Auguste Renoir,1
Young Girl in a Pink-and-Black Hat ,Young Girl in a Pink-and-Black Hat,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: ca. 1891,Medium: Oil on canvas,Accession Number: 64.150,Not on view,Date:,ca.,1891,,1891,1891,1891,1891,,,Auguste Renoir,1
"Hills around the Bay of Moulin Huet, Guernsey","Hills around the Bay of Moulin Huet, Guernsey",Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1883,Medium: Oil on canvas,Accession Number: 56.135.9,Not on view,Date:,1883,,,1883,,1883,1883,,,Auguste Renoir,1
Young Girl Bathing ,Young Girl Bathing,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1892,Medium: Oil on canvas,Accession Number: 1975.1.199,On view in Gallery 961,Date:,1892,,,1892,,1892,1892,,,Auguste Renoir,1
A Road in Louveciennes,A Road in Louveciennes,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: ca. 1870,Medium: Oil on canvas,Accession Number: 1974.356.32,On view in Gallery 824,Date:,ca.,1870,,1870,1870,1870,1870,,,Auguste Renoir,1
Still Life with Flowers and Prickly Pears ,Still Life with Flowers and Prickly Pears,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: ca. 1885,Medium: Oil on canvas,Accession Number: 2010.454,On view in Gallery 824,Date:,ca.,1885,,1885,1885,1885,1885,,,Auguste Renoir,1
Versailles,Versailles,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1900–1905,Medium: Oil on canvas,Accession Number: 1975.1.202,On view in Gallery 961,Date:,1900–1905,,,1900–1905,,1900,1900,1905,1,Auguste Renoir,1
Two Young Girls at the Piano ,Two Young Girls at the Piano,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1892,Medium: Oil on canvas,Accession Number: 1975.1.201,On view in Gallery 961,Date:,1892,,,1892,,1892,1892,,,Auguste Renoir,1
Figures on the Beach,Figures on the Beach,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: 1890,Medium: Oil on canvas,Accession Number: 1975.1.198,Not on view,Date:,1890,,,1890,,1890,1890,,,Auguste Renoir,1
Young Girl in a Blue Dress ,Young Girl in a Blue Dress,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: ca. 1890,Medium: Watercolor with gouache highlights on thick cream wove paper,Accession Number: 1975.1.688,Not on view,Date:,ca.,1890,,1890,1890,1890,1890,,,Auguste Renoir,1
Sea and Cliffs,Sea and Cliffs,Auguste Renoir,"(French, Limoges 1841–1919 Cagnes-sur-Mer)",Date: ca. 1885,Medium: Oil on canvas,Accession Number: 1975.1.200,On view in Gallery 961,Date:,ca.,1885,,1885,1885,1885,1885,,,Auguste Renoir,1
Three Nudes ,Three Nudes,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1907,"Medium: Watercolor on oil on paper, mounted to canvas",Accession Number: 1991.101,Not on view,Date:,1907,,,1907,,1907,1907,,,Georges Rouault,1
Twilight,Twilight,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1937,Medium: Oil on canvas,Accession Number: 56.230.2,On view in Gallery 901,Date:,1937,,,1937,,1937,1937,,,Georges Rouault,1
Portrait of a German Officer ,Portrait of a German Officer,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1916,Medium: Gouache on paper,Accession Number: 1996.403.18ab,Not on view,Date:,1916,,,1916,,1916,1916,,,Georges Rouault,1
Two Nudes ,Two Nudes,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1905,Medium: Oil on paper,Accession Number: 49.106ab,Not on view,Date:,1905,,,1905,,1905,1905,,,Georges Rouault,1
Legendary Landscape ,Legendary Landscape,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1935,"Medium: Oil on paper, mounted to canvas",Accession Number: 2007.247.7,Not on view,Date:,1935,,,1935,,1935,1935,,,Georges Rouault,1
The Manager and a Circus Girl ,The Manager and a Circus Girl,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1941,Medium: Oil on canvas,Accession Number: 1999.363.77,Not on view,Date:,1941,,,1941,,1941,1941,,,Georges Rouault,1
Christ and the Apostles,Christ and the Apostles,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1937–38,Medium: Oil on canvas,Accession Number: 1999.363.76,Not on view,Date:,1937–38,,,1937–38,,1937,1937,38,1,Georges Rouault,1
Dancer with Two Clowns,Dancer with Two Clowns,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1929,Medium: Oil on canvas,Accession Number: 1993.89.3,Not on view,Date:,1929,,,1929,,1929,1929,,,Georges Rouault,1
Three Judges ,Three Judges,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: ca. 1938,Medium: Oil on canvas,Accession Number: 1990.274.3,Not on view,Date:,ca.,1938,,1938,1938,1938,1938,,,Georges Rouault,1
Mythical Landscape (Paysage légendaire),Mythical Landscape (Paysage légendaire),Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1936,Medium: Oil on canvas,Accession Number: 1975.1.203,Not on view,Date:,1936,,,1936,,1936,1936,,,Georges Rouault,1
Head ,Head,Georges Rouault,"(French, Paris 1871–1958 Paris)",Date: 1930,Medium: Gouache on paper,Accession Number: 67.187.32,Not on view,Date:,1930,,,1930,,1930,1930,,,Georges Rouault,1
Circus Sideshow,Circus Sideshow,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1887–88,Medium: Oil on canvas,Accession Number: 61.101.17,On view in Gallery 826,Date:,1887–88,,,1887–88,,1887,1887,88,1,Georges Seurat,1
Study for A Sunday on La Grande Jatte,Study for A Sunday on La Grande Jatte,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1884,Medium: Oil on canvas,Accession Number: 51.112.6,On view in Gallery 826,Date:,1884,,,1884,,1884,1884,,,Georges Seurat,1
The Forest at Pontaubert ,The Forest at Pontaubert,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1881,Medium: Oil on canvas,Accession Number: 1985.237,Not on view,Date:,1881,,,1881,,1881,1881,,,Georges Seurat,1
"Gray Weather, Grande Jatte","Gray Weather, Grande Jatte",Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: ca. 1886–88,Medium: Oil on canvas,Accession Number: 2002.62.3,On view in Gallery 823,Date:,ca.,1886–88,,1886–88,1886–88,1886,1886,88,1,Georges Seurat,1
Landscape at Saint-Ouen,Landscape at Saint-Ouen,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1878 or 1879,"Medium: Oil on wood, mounted on wood",Accession Number: 1980.342,Not on view,Date:,1878,or,1879,1878,or,1878,1878,,,Georges Seurat,1
View of the Seine,View of the Seine,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1882–83,Medium: Oil on wood,Accession Number: 59.16.5,Not on view,Date:,1882–83,,,1882–83,,1882,1882,83,1,Georges Seurat,1
The Gardener,The Gardener,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1882–83,Medium: Oil on wood,Accession Number: 67.187.102,Not on view,Date:,1882–83,,,1882–83,,1882,1882,83,1,Georges Seurat,1
The Mower,The Mower,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1881–82,Medium: Oil on wood,Accession Number: 1975.1.206,On view in Gallery 962,Date:,1881–82,,,1881–82,,1881,1881,82,1,Georges Seurat,1
Study for A Sunday on La Grande Jatte,Study for A Sunday on La Grande Jatte,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1884,Medium: Oil on wood,Accession Number: 1975.1.207,Not on view,Date:,1884,,,1884,,1884,1884,,,Georges Seurat,1
The Lighthouse at Honfleur,The Lighthouse at Honfleur,Georges Seurat,"(French, Paris 1859–1891 Paris)",Date: 1886,Medium: Conté crayon heightened with gouache on laid paper,Accession Number: 1975.1.705,Not on view,Date:,1886,,,1886,,1886,1886,,,Georges Seurat,1
Portrait of Madeleine Castaing ,Portrait of Madeleine Castaing,Chaim Soutine,"(French (born Lithuania), Smilovitchi 1893–1943 Paris)",Date: ca. 1929,Medium: Oil on canvas,Accession Number: 67.187.107,Not on view,Date:,ca.,1929,,1929,1929,1929,1929,,,Chaim Soutine,1
Still Life with Rayfish,Still Life with Rayfish,Chaim Soutine,"(French (born Lithuania), Smilovitchi 1893–1943 Paris)",Date: ca. 1924,Medium: Oil on canvas,Accession Number: 1997.149.1,Not on view,Date:,ca.,1924,,1924,1924,1924,1924,,,Chaim Soutine,1
View of Cagnes,View of Cagnes,Chaim Soutine,"(French (born Lithuania), Smilovitchi 1893–1943 Paris)",Date: ca. 1924–25,Medium: Oil on canvas,Accession Number: 1997.149.2,Not on view,Date:,ca.,1924–25,,1924–25,1924–25,1924,1924,25,1,Chaim Soutine,1
Still Life with Fish,Still Life with Fish,Chaim Soutine,"(French (born Lithuania), Smilovitchi 1893–1943 Paris)",Date: ca. 1920,Medium: Oil on canvas,Accession Number: 67.187.105,Not on view,Date:,ca.,1920,,1920,1920,1920,1920,,,Chaim Soutine,1
Man with Horse ,Man with Horse,Chaim Soutine,"(French (born Lithuania), Smilovitchi 1893–1943 Paris)",Date: ca. 1920,Medium: Oil on canvas,Accession Number: 67.187.104,Not on view,Date:,ca.,1920,,1920,1920,1920,1920,,,Chaim Soutine,1
Apples,Apples,Chaim Soutine,"(French (born Lithuania), Smilovitchi 1893–1943 Paris)",Date: ca. 1917,Medium: Oil on canvas,Accession Number: 67.187.106,Not on view,Date:,ca.,1917,,1917,1917,1917,1917,,,Chaim Soutine,1
Woman in Red Blouse ,Woman in Red Blouse,Chaim Soutine,"(French (born Lithuania), Smilovitchi 1893–1943 Paris)",Date: ca. 1919,Medium: Oil on canvas,Accession Number: 1993.89.4,Not on view,Date:,ca.,1919,,1919,1919,1919,1919,,,Chaim Soutine,1
The Satin Tuning Fork ,The Satin Tuning Fork,Yves Tanguy,"(American (born France), Paris 1900–1955 Woodbury, Connecticut)",Date: 1940,Medium: Oil on canvas,Accession Number: 1999.363.80,On view in Gallery 907,Date:,1940,,,1940,,1940,1940,,,Yves Tanguy,1
"My Life, White and Black ","My Life, White and Black",Yves Tanguy,"(American (born France), Paris 1900–1955 Woodbury, Connecticut)",Date: 1944,Medium: Oil on canvas,Accession Number: 1999.363.81,On view in Gallery 907,Date:,1944,,,1944,,1944,1944,,,Yves Tanguy,1
Title Unknown ,Title Unknown,Yves Tanguy,"(American (born France), Paris 1900–1955 Woodbury, Connecticut)",Date: 1926,Medium: Oil with string on canvas,Accession Number: 2002.456.6,Not on view,Date:,1926,,,1926,,1926,1926,,,Yves Tanguy,1
The Mirage of Time ,The Mirage of Time,Yves Tanguy,"(American (born France), Paris 1900–1955 Woodbury, Connecticut)",Date: 1954,Medium: Oil on canvas,Accession Number: 55.95,Not on view,Date:,1954,,,1954,,1954,1954,,,Yves Tanguy,1
